icd10,gbd_severity,description
G09.8,3,Sequelae of inflammatory diseases of central nervous system
G09.9,3,Sequelae of inflammatory diseases of central nervous system
G15,3,NA
G15.0,3,NA
G15.1,3,NA
G15.2,3,NA
G15.3,3,NA
G15.4,3,NA
G15.5,3,NA
G15.6,3,NA
G15.7,3,NA
G15.8,3,NA
G15.9,3,NA
G16,3,NA
G16.0,3,NA
G16.1,3,NA
G16.2,3,NA
G16.3,3,NA
G16.4,3,NA
G16.5,3,NA
G16.6,3,NA
G16.7,3,NA
G16.8,3,NA
G16.9,3,NA
G17,3,NA
G17.0,3,NA
G17.1,3,NA
G17.2,3,NA
G17.3,3,NA
G17.4,3,NA
G17.5,3,NA
G17.6,3,NA
G17.7,3,NA
G17.8,3,NA
G17.9,3,NA
G18,3,NA
G18.0,3,NA
G18.1,3,NA
G18.2,3,NA
G18.3,3,NA
G18.4,3,NA
G18.5,3,NA
G18.6,3,NA
G18.7,3,NA
G18.8,3,NA
G18.9,3,NA
G19,3,NA
G19.0,3,NA
G19.1,3,NA
G19.2,3,NA
G19.3,3,NA
G19.4,3,NA
G19.5,3,NA
G19.6,3,NA
G19.7,3,NA
G19.8,3,NA
G19.9,3,NA
G21,3,Secondary parkinsonism
G21.2,3,Secondary parkinsonism due to other external agents
G21.4,3,Vascular parkinsonism
G21.5,3,Secondary parkinsonism
G21.6,3,Secondary parkinsonism
G21.7,3,Secondary parkinsonism
G21.8,3,Other secondary parkinsonism
G21.9,3,"Secondary parkinsonism, unspecified"
G22,3,NA
G22.0,3,NA
G27,3,NA
G27.0,3,NA
G27.1,3,NA
G27.2,3,NA
G27.3,3,NA
G27.4,3,NA
G27.5,3,NA
G27.6,3,NA
G27.7,3,NA
G27.8,3,NA
G27.9,3,NA
G28,3,NA
G28.0,3,NA
G28.1,3,NA
G28.2,3,NA
G28.3,3,NA
G28.4,3,NA
G28.5,3,NA
G28.6,3,NA
G28.7,3,NA
G28.8,3,NA
G28.9,3,NA
G29,3,NA
G29.0,3,NA
G29.1,3,NA
G29.2,3,NA
G29.3,3,NA
G29.4,3,NA
G29.5,3,NA
G29.6,3,NA
G29.7,3,NA
G29.8,3,NA
G29.9,3,NA
G32,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.0,1,Subacute combined degeneration of spinal cord in diseases classified elsewhere
G32.1,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.2,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.3,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.4,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.5,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.6,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.7,1,Other degenerative disorders of nervous system in diseases classified elsewhere
G32.8,1,Other specified degenerative disorders of nervous system in diseases classified elsewhere
G33,3,NA
G33.0,3,NA
G33.1,3,NA
G33.2,3,NA
G33.3,3,NA
G33.4,3,NA
G33.5,3,NA
G33.6,3,NA
G33.7,3,NA
G33.8,3,NA
G33.9,3,NA
G34,3,NA
G34.0,3,NA
G34.1,3,NA
G34.2,3,NA
G34.3,3,NA
G34.4,3,NA
G34.5,3,NA
G34.6,3,NA
G34.7,3,NA
G34.8,3,NA
G34.9,3,NA
G38,3,NA
G38.0,3,NA
G38.1,3,NA
G38.2,3,NA
G38.3,3,NA
G38.4,3,NA
G38.5,3,NA
G38.6,3,NA
G38.7,3,NA
G38.8,3,NA
G38.9,3,NA
G39,3,NA
G39.0,3,NA
G39.1,3,NA
G39.2,3,NA
G39.3,3,NA
G39.4,3,NA
G39.5,3,NA
G39.6,3,NA
G39.7,3,NA
G39.8,3,NA
G39.9,3,NA
G42,3,NA
G43,1,Migraine
G43.0,1,Migraine without aura
G43.1,1,Migraine with aura
G43.2,1,Migraine
G43.3,1,Migraine
G43.4,1,Hemiplegic migraine
G43.5,1,Persistent migraine aura without cerebral infarction
G43.6,1,Persistent migraine aura with cerebral infarction
G43.7,1,Chronic migraine without aura
G43.8,1,Other migraine
G43.9,1,"Migraine, unspecified"
G44,1,Other headache syndromes
G44.0,1,Cluster headaches and other trigeminal autonomic cephalgias (TAC)
G44.1,1,"Vascular headache, not elsewhere classified"
G44.2,1,Tension-type headache
G44.3,2,Post-traumatic headache
G44.4,1,"Drug-induced headache, not elsewhere classified"
G44.5,1,Complicated headache syndromes
G44.6,1,Other headache syndromes
G44.7,1,Other headache syndromes
G44.8,1,Other specified headache syndromes
G47,1,Sleep disorders
G47.0,1,Insomnia
G47.1,1,Hypersomnia
G47.2,1,Circadian rhythm sleep disorders
G47.4,1,Narcolepsy and cataplexy
G47.5,1,Parasomnia
G47.6,1,Sleep related movement disorders
G47.7,1,Sleep disorders
G47.8,1,Other sleep disorders
G47.9,1,"Sleep disorder, unspecified"
G48,3,NA
G48.0,3,NA
G48.1,3,NA
G48.2,3,NA
G48.3,3,NA
G48.4,3,NA
G48.5,3,NA
G48.6,3,NA
G48.7,3,NA
G48.8,3,NA
G48.9,3,NA
G49,3,NA
G49.0,3,NA
G49.1,3,NA
G49.2,3,NA
G49.3,3,NA
G49.4,3,NA
G49.5,3,NA
G49.6,3,NA
G49.7,3,NA
G49.8,3,NA
G49.9,3,NA
G50,1,Disorders of trigeminal nerve
G50.0,1,Trigeminal neuralgia
G50.1,1,Atypical facial pain
G50.2,1,Disorders of trigeminal nerve
G50.3,1,Disorders of trigeminal nerve
G50.4,1,Disorders of trigeminal nerve
G50.5,1,Disorders of trigeminal nerve
G50.6,1,Disorders of trigeminal nerve
G50.7,1,Disorders of trigeminal nerve
G50.8,1,Other disorders of trigeminal nerve
G50.9,1,"Disorder of trigeminal nerve, unspecified"
G51,1,Facial nerve disorders
G51.0,1,Bell's palsy
G51.1,1,Geniculate ganglionitis
G51.2,1,Melkersson's syndrome
G51.3,1,Clonic hemifacial spasm
G51.4,1,Facial myokymia
G51.5,1,Facial nerve disorders
G51.6,1,Facial nerve disorders
G51.7,1,Facial nerve disorders
G51.8,1,Other disorders of facial nerve
G51.9,1,"Disorder of facial nerve, unspecified"
G52,1,Disorders of other cranial nerves
G52.0,1,Disorders of olfactory nerve
G52.1,1,Disorders of glossopharyngeal nerve
G52.2,1,Disorders of vagus nerve
G52.3,1,Disorders of hypoglossal nerve
G52.4,1,Disorders of other cranial nerves
G52.5,1,Disorders of other cranial nerves
G52.6,1,Disorders of other cranial nerves
G52.7,1,Disorders of multiple cranial nerves
G52.8,1,Disorders of other specified cranial nerves
G52.9,1,"Cranial nerve disorder, unspecified"
G53,1,Cranial nerve disorders in diseases classified elsewhere
G53.0,1,Cranial nerve disorders in diseases classified elsewhere
G53.1,1,Cranial nerve disorders in diseases classified elsewhere
G53.2,1,Cranial nerve disorders in diseases classified elsewhere
G53.3,1,Cranial nerve disorders in diseases classified elsewhere
G53.4,1,Cranial nerve disorders in diseases classified elsewhere
G53.5,1,Cranial nerve disorders in diseases classified elsewhere
G53.6,1,Cranial nerve disorders in diseases classified elsewhere
G53.7,1,Cranial nerve disorders in diseases classified elsewhere
G53.8,1,Cranial nerve disorders in diseases classified elsewhere
G53.9,1,Cranial nerve disorders in diseases classified elsewhere
G54,1,Nerve root and plexus disorders
G54.0,1,Brachial plexus disorders
G54.1,1,Lumbosacral plexus disorders
G54.2,1,"Cervical root disorders, not elsewhere classified"
G54.3,1,"Thoracic root disorders, not elsewhere classified"
G54.4,1,"Lumbosacral root disorders, not elsewhere classified"
G54.5,1,Neuralgic amyotrophy
G54.6,1,Phantom limb syndrome with pain
G54.7,1,Phantom limb syndrome without pain
G54.8,1,Other nerve root and plexus disorders
G54.9,1,"Nerve root and plexus disorder, unspecified"
G55,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.0,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.1,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.2,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.3,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.4,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.5,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.6,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.7,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.8,1,Nerve root and plexus compressions in diseases classified elsewhere
G55.9,1,Nerve root and plexus compressions in diseases classified elsewhere
G56,1,Mononeuropathies of upper limb
G56.0,1,Carpal tunnel syndrome
G56.1,1,Other lesions of median nerve
G56.2,1,Lesion of ulnar nerve
G56.3,1,Lesion of radial nerve
G56.4,1,Causalgia of upper limb
G56.5,1,Mononeuropathies of upper limb
G56.6,1,Mononeuropathies of upper limb
G56.7,1,Mononeuropathies of upper limb
G56.8,1,Other specified mononeuropathies of upper limb
G56.9,1,Unspecified mononeuropathy of upper limb
G57,1,Mononeuropathies of lower limb
G57.0,1,Lesion of sciatic nerve
G57.1,1,Meralgia paresthetica
G57.2,1,Lesion of femoral nerve
G57.3,1,Lesion of lateral popliteal nerve
G57.4,1,Lesion of medial popliteal nerve
G57.5,1,Tarsal tunnel syndrome
G57.6,1,Lesion of plantar nerve
G57.7,1,Causalgia of lower limb
G57.8,1,Other specified mononeuropathies of lower limb
G57.9,1,Unspecified mononeuropathy of lower limb
G58,1,Other mononeuropathies
G58.0,1,Intercostal neuropathy
G58.1,1,Other mononeuropathies
G58.2,1,Other mononeuropathies
G58.3,1,Other mononeuropathies
G58.4,1,Other mononeuropathies
G58.5,1,Other mononeuropathies
G58.6,1,Other mononeuropathies
G58.7,1,Mononeuritis multiplex
G58.8,1,Other specified mononeuropathies
G58.9,1,"Mononeuropathy, unspecified"
G59,1,Mononeuropathy in diseases classified elsewhere
G59.0,1,Mononeuropathy in diseases classified elsewhere
G59.1,1,Mononeuropathy in diseases classified elsewhere
G59.2,1,Mononeuropathy in diseases classified elsewhere
G59.3,1,Mononeuropathy in diseases classified elsewhere
G59.4,1,Mononeuropathy in diseases classified elsewhere
G59.5,1,Mononeuropathy in diseases classified elsewhere
G59.6,1,Mononeuropathy in diseases classified elsewhere
G59.7,1,Mononeuropathy in diseases classified elsewhere
G59.8,1,Mononeuropathy in diseases classified elsewhere
G59.9,1,Mononeuropathy in diseases classified elsewhere
G60,1,Hereditary and idiopathic neuropathy
G60.0,1,Hereditary motor and sensory neuropathy
G60.1,1,Refsum's disease
G60.2,1,Neuropathy in association with hereditary ataxia
G60.3,1,Idiopathic progressive neuropathy
G60.4,1,Hereditary and idiopathic neuropathy
G60.5,1,Hereditary and idiopathic neuropathy
G60.6,1,Hereditary and idiopathic neuropathy
G60.7,1,Hereditary and idiopathic neuropathy
G60.8,1,Other hereditary and idiopathic neuropathies
G60.9,1,"Hereditary and idiopathic neuropathy, unspecified"
G62,1,Other and unspecified polyneuropathies
G62.0,1,Drug-induced polyneuropathy
G62.2,1,Polyneuropathy due to other toxic agents
G62.3,1,Other and unspecified polyneuropathies
G62.4,1,Other and unspecified polyneuropathies
G62.5,1,Other and unspecified polyneuropathies
G62.6,1,Other and unspecified polyneuropathies
G62.7,1,Other and unspecified polyneuropathies
G62.8,1,Other specified polyneuropathies
G62.9,1,"Polyneuropathy, unspecified"
G63,1,Polyneuropathy in diseases classified elsewhere
G63.0,1,Polyneuropathy in diseases classified elsewhere
G63.1,1,Polyneuropathy in diseases classified elsewhere
G63.2,1,Polyneuropathy in diseases classified elsewhere
G63.3,1,Polyneuropathy in diseases classified elsewhere
G63.4,1,Polyneuropathy in diseases classified elsewhere
G63.5,1,Polyneuropathy in diseases classified elsewhere
G63.6,1,Polyneuropathy in diseases classified elsewhere
G63.7,1,Polyneuropathy in diseases classified elsewhere
G63.8,1,Polyneuropathy in diseases classified elsewhere
G63.9,1,Polyneuropathy in diseases classified elsewhere
G64,1,Other disorders of peripheral nervous system
G64.0,1,Other disorders of peripheral nervous system
G64.1,1,Other disorders of peripheral nervous system
G64.2,1,Other disorders of peripheral nervous system
G64.3,1,Other disorders of peripheral nervous system
G64.4,1,Other disorders of peripheral nervous system
G64.5,1,Other disorders of peripheral nervous system
G64.6,1,Other disorders of peripheral nervous system
G64.7,1,Other disorders of peripheral nervous system
G64.8,1,Other disorders of peripheral nervous system
G64.9,1,Other disorders of peripheral nervous system
G65,1,Sequelae of inflammatory and toxic polyneuropathies
G65.0,1,Sequelae of Guillain-Barre syndrome
G65.1,1,Sequelae of other inflammatory polyneuropathy
G65.2,1,Sequelae of toxic polyneuropathy
G66,3,NA
G66.0,3,NA
G66.1,3,NA
G66.2,3,NA
G66.3,3,NA
G66.4,3,NA
G66.5,3,NA
G66.6,3,NA
G66.7,3,NA
G66.8,3,NA
G66.9,3,NA
G67,3,NA
G67.0,3,NA
G67.1,3,NA
G67.2,3,NA
G67.3,3,NA
G67.4,3,NA
G67.5,3,NA
G67.6,3,NA
G67.7,3,NA
G67.8,3,NA
G67.9,3,NA
G68,3,NA
G68.0,3,NA
G68.1,3,NA
G68.2,3,NA
G68.3,3,NA
G68.4,3,NA
G68.5,3,NA
G68.6,3,NA
G68.7,3,NA
G68.8,3,NA
G68.9,3,NA
G69,3,NA
G69.0,3,NA
G69.1,3,NA
G69.2,3,NA
G69.3,3,NA
G69.4,3,NA
G69.5,3,NA
G69.6,3,NA
G69.7,3,NA
G69.8,3,NA
G69.9,3,NA
G74,3,NA
G74.0,3,NA
G74.1,3,NA
G74.2,3,NA
G74.3,3,NA
G74.4,3,NA
G74.5,3,NA
G74.6,3,NA
G74.7,3,NA
G74.8,3,NA
G74.9,3,NA
G75,3,NA
G75.0,3,NA
G75.1,3,NA
G75.2,3,NA
G75.3,3,NA
G75.4,3,NA
G75.5,3,NA
G75.6,3,NA
G75.7,3,NA
G75.8,3,NA
G75.9,3,NA
G76,3,NA
G76.0,3,NA
G76.1,3,NA
G76.2,3,NA
G76.3,3,NA
G76.4,3,NA
G76.5,3,NA
G76.6,3,NA
G76.7,3,NA
G76.8,3,NA
G76.9,3,NA
G77,3,NA
G77.0,3,NA
G77.1,3,NA
G77.2,3,NA
G77.3,3,NA
G77.4,3,NA
G77.5,3,NA
G77.6,3,NA
G77.7,3,NA
G77.8,3,NA
G77.9,3,NA
G78,3,NA
G78.0,3,NA
G78.1,3,NA
G78.2,3,NA
G78.3,3,NA
G78.4,3,NA
G78.5,3,NA
G78.6,3,NA
G78.7,3,NA
G78.8,3,NA
G78.9,3,NA
G79,3,NA
G79.0,3,NA
G79.1,3,NA
G79.2,3,NA
G79.3,3,NA
G79.4,3,NA
G79.5,3,NA
G79.6,3,NA
G79.7,3,NA
G79.8,3,NA
G79.9,3,NA
G80,1,Cerebral palsy
G80.0,1,Spastic quadriplegic cerebral palsy
G80.1,1,Spastic diplegic cerebral palsy
G80.2,1,Spastic hemiplegic cerebral palsy
G80.3,1,Athetoid cerebral palsy
G80.4,1,Ataxic cerebral palsy
G80.5,1,Cerebral palsy
G80.6,1,Cerebral palsy
G80.7,1,Cerebral palsy
G80.8,1,Other cerebral palsy
G80.9,1,"Cerebral palsy, unspecified"
G81,1,Hemiplegia and hemiparesis
G81.0,1,Flaccid hemiplegia
G81.1,1,Spastic hemiplegia
G81.2,1,Hemiplegia and hemiparesis
G81.3,1,Hemiplegia and hemiparesis
G81.4,1,Hemiplegia and hemiparesis
G81.5,1,Hemiplegia and hemiparesis
G81.6,1,Hemiplegia and hemiparesis
G81.7,1,Hemiplegia and hemiparesis
G81.8,1,Hemiplegia and hemiparesis
G81.9,1,"Hemiplegia, unspecified"
G82,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.0,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.1,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.2,1,Paraplegia
G82.3,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.4,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.5,1,Quadriplegia
G82.6,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.7,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.8,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G82.9,1,Paraplegia (paraparesis) and quadriplegia (quadriparesis)
G83,1,Other paralytic syndromes
G83.0,1,Diplegia of upper limbs
G83.1,1,Monoplegia of lower limb
G83.2,1,Monoplegia of upper limb
G83.3,1,"Monoplegia, unspecified"
G83.4,1,Cauda equina syndrome
G83.5,1,Locked-in state
G83.6,1,Other paralytic syndromes
G83.7,1,Other paralytic syndromes
G83.8,1,Other specified paralytic syndromes
G83.9,1,"Paralytic syndrome, unspecified"
G84,3,NA
G84.0,3,NA
G84.1,3,NA
G84.2,3,NA
G84.3,3,NA
G84.4,3,NA
G84.5,3,NA
G84.6,3,NA
G84.7,3,NA
G84.8,3,NA
G84.9,3,NA
G85,3,NA
G85.0,3,NA
G85.1,3,NA
G85.2,3,NA
G85.3,3,NA
G85.4,3,NA
G85.5,3,NA
G85.6,3,NA
G85.7,3,NA
G85.8,3,NA
G85.9,3,NA
G86,3,NA
G86.0,3,NA
G86.1,3,NA
G86.2,3,NA
G86.3,3,NA
G86.4,3,NA
G86.5,3,NA
G86.6,3,NA
G86.7,3,NA
G86.8,3,NA
G86.9,3,NA
G87,3,NA
G87.0,3,NA
G87.1,3,NA
G87.2,3,NA
G87.3,3,NA
G87.4,3,NA
G87.5,3,NA
G87.6,3,NA
G87.7,3,NA
G87.8,3,NA
G87.9,3,NA
G88,3,NA
G88.0,3,NA
G88.1,3,NA
G88.2,3,NA
G88.3,3,NA
G88.4,3,NA
G88.5,3,NA
G88.6,3,NA
G88.7,3,NA
G88.8,3,NA
G88.9,3,NA
G89,1,"Pain, not elsewhere classified"
G89.0,1,Central pain syndrome
G89.1,1,"Acute pain, not elsewhere classified"
G89.2,1,"Chronic pain, not elsewhere classified"
G89.3,1,Neoplasm related pain (acute) (chronic)
G89.4,1,Chronic pain syndrome
G91,1,Hydrocephalus
G91.0,1,Communicating hydrocephalus
G91.1,1,Obstructive hydrocephalus
G91.2,1,(Idiopathic) normal pressure hydrocephalus
G91.3,2,"Post-traumatic hydrocephalus, unspecified"
G91.4,1,Hydrocephalus in diseases classified elsewhere
G91.5,1,Hydrocephalus
G91.6,1,Hydrocephalus
G91.7,1,Hydrocephalus
G91.8,1,Other hydrocephalus
G91.9,1,"Hydrocephalus, unspecified"
G92,1,Toxic encephalopathy
G92.0,1,Toxic encephalopathy
G92.1,1,Toxic encephalopathy
G92.2,1,Toxic encephalopathy
G92.3,1,Toxic encephalopathy
G92.4,1,Toxic encephalopathy
G92.5,1,Toxic encephalopathy
G92.6,1,Toxic encephalopathy
G92.7,1,Toxic encephalopathy
G92.8,1,Toxic encephalopathy
G92.9,1,Toxic encephalopathy
G93,1,Other disorders of brain
G93,3,Other disorders of brain
G93.0,1,Cerebral cysts
G93.0,2,Cerebral cysts
G93.1,1,"Anoxic brain damage, not elsewhere classified"
G93.2,1,Benign intracranial hypertension
G93.3,1,Postviral fatigue syndrome
G93.3,2,Postviral fatigue syndrome
G93.4,1,Other and unspecified encephalopathy
G93.5,1,Compression of brain
G93.6,1,Cerebral edema
G93.7,1,Reye's syndrome
G93.8,3,Other specified disorders of brain
G93.8,1,Other specified disorders of brain
G93.9,1,"Disorder of brain, unspecified"
G93.9,3,"Disorder of brain, unspecified"
G94,3,Other disorders of brain in diseases classified elsewhere
G94,1,Other disorders of brain in diseases classified elsewhere
G94.0,3,Other disorders of brain in diseases classified elsewhere
G94.0,1,Other disorders of brain in diseases classified elsewhere
G94.1,3,Other disorders of brain in diseases classified elsewhere
G94.1,1,Other disorders of brain in diseases classified elsewhere
G94.2,3,Other disorders of brain in diseases classified elsewhere
G94.2,1,Other disorders of brain in diseases classified elsewhere
G94.3,3,Other disorders of brain in diseases classified elsewhere
G94.3,1,Other disorders of brain in diseases classified elsewhere
G94.4,3,Other disorders of brain in diseases classified elsewhere
G94.4,1,Other disorders of brain in diseases classified elsewhere
G94.5,1,Other disorders of brain in diseases classified elsewhere
G94.5,3,Other disorders of brain in diseases classified elsewhere
G94.6,3,Other disorders of brain in diseases classified elsewhere
G94.6,1,Other disorders of brain in diseases classified elsewhere
G94.7,3,Other disorders of brain in diseases classified elsewhere
G94.7,1,Other disorders of brain in diseases classified elsewhere
G94.8,1,Other disorders of brain in diseases classified elsewhere
G94.8,3,Other disorders of brain in diseases classified elsewhere
G94.9,3,Other disorders of brain in diseases classified elsewhere
G96,3,Other disorders of central nervous system
G96.0,3,Cerebrospinal fluid leak
G96.1,3,"Disorders of meninges, not elsewhere classified"
G96.2,3,Other disorders of central nervous system
G96.3,3,Other disorders of central nervous system
G96.4,3,Other disorders of central nervous system
G96.5,3,Other disorders of central nervous system
G96.6,3,Other disorders of central nervous system
G96.7,3,Other disorders of central nervous system
G96.8,3,Other specified disorders of central nervous system
G96.9,3,"Disorder of central nervous system, unspecified"
G98,3,Other disorders of nervous system not elsewhere classified
G98.0,3,"Neurogenic arthritis, not elsewhere classified"
G98.1,3,Other disorders of nervous system not elsewhere classified
G98.2,3,Other disorders of nervous system not elsewhere classified
G98.3,3,Other disorders of nervous system not elsewhere classified
G98.4,3,Other disorders of nervous system not elsewhere classified
G98.5,3,Other disorders of nervous system not elsewhere classified
G98.6,3,Other disorders of nervous system not elsewhere classified
G98.7,3,Other disorders of nervous system not elsewhere classified
G98.8,3,Other disorders of nervous system
G98.9,3,Other disorders of nervous system not elsewhere classified
G99,1,Other disorders of nervous system in diseases classified elsewhere
G99.0,1,Autonomic neuropathy in diseases classified elsewhere
G99.1,1,Other disorders of nervous system in diseases classified elsewhere
G99.2,1,Myelopathy in diseases classified elsewhere
G99.3,1,Other disorders of nervous system in diseases classified elsewhere
G99.4,1,Other disorders of nervous system in diseases classified elsewhere
G99.5,1,Other disorders of nervous system in diseases classified elsewhere
G99.6,1,Other disorders of nervous system in diseases classified elsewhere
G99.7,1,Other disorders of nervous system in diseases classified elsewhere
G99.8,1,Other specified disorders of nervous system in diseases classified elsewhere
H00,1,Hordeolum and chalazion
H00.0,1,Hordeolum (externum) (internum) of eyelid
H00.1,1,Chalazion
H00.2,1,Hordeolum and chalazion
H00.3,1,Hordeolum and chalazion
H00.4,1,Hordeolum and chalazion
H00.5,1,Hordeolum and chalazion
H00.6,1,Hordeolum and chalazion
H00.7,1,Hordeolum and chalazion
H00.8,1,Hordeolum and chalazion
H00.9,1,Hordeolum and chalazion
H01,1,Other inflammation of eyelid
H01.0,1,Blepharitis
H01.1,1,Noninfectious dermatoses of eyelid
H01.2,1,Other inflammation of eyelid
H01.3,1,Other inflammation of eyelid
H01.4,1,Other inflammation of eyelid
H01.5,1,Other inflammation of eyelid
H01.6,1,Other inflammation of eyelid
H01.7,1,Other inflammation of eyelid
H01.8,1,Other specified inflammations of eyelid
H01.9,1,Unspecified inflammation of eyelid
H02,1,Other disorders of eyelid
H02.0,1,Entropion and trichiasis of eyelid
H02.1,1,Ectropion of eyelid
H02.2,1,Lagophthalmos
H02.3,1,Blepharochalasis
H02.4,1,Ptosis of eyelid
H02.5,1,Other disorders affecting eyelid function
H02.6,1,Xanthelasma of eyelid
H02.7,1,Other and unspecified degenerative disorders of eyelid and periocular area
H02.8,1,Other specified disorders of eyelid
H02.9,1,Unspecified disorder of eyelid
H03,1,NA
H03.0,1,NA
H03.1,1,NA
H03.2,1,NA
H03.3,1,NA
H03.4,1,NA
H03.5,1,NA
H03.6,1,NA
H03.7,1,NA
H03.8,1,NA
H03.9,1,NA
H04,1,Disorders of lacrimal system
H04.0,1,Dacryoadenitis
H04.1,1,Other disorders of lacrimal gland
H04.2,1,Epiphora
H04.3,1,Acute and unspecified inflammation of lacrimal passages
H04.4,1,Chronic inflammation of lacrimal passages
H04.5,1,Stenosis and insufficiency of lacrimal passages
H04.6,1,Other changes of lacrimal passages
H04.7,1,Disorders of lacrimal system
H04.8,1,Other disorders of lacrimal system
H04.9,1,"Disorder of lacrimal system, unspecified"
H05,1,Disorders of orbit
H05.0,1,Acute inflammation of orbit
H05.1,1,Chronic inflammatory disorders of orbit
H05.2,1,Exophthalmic conditions
H05.3,1,Deformity of orbit
H05.4,1,Enophthalmos
H05.5,1,Retained (old) foreign body following penetrating wound of orbit
H05.6,1,Disorders of orbit
H05.7,1,Disorders of orbit
H05.8,1,Other disorders of orbit
H05.9,1,Unspecified disorder of orbit
H06,1,NA
H06.0,1,NA
H06.1,1,NA
H06.2,1,NA
H06.3,1,NA
H06.4,1,NA
H06.5,1,NA
H06.6,1,NA
H06.7,1,NA
H06.8,1,NA
H06.9,1,NA
H07,1,NA
H07.0,1,NA
H07.1,1,NA
H07.2,1,NA
H07.3,1,NA
H07.4,1,NA
H07.5,1,NA
H07.6,1,NA
H07.7,1,NA
H07.8,1,NA
H07.9,1,NA
H08,1,NA
H08.0,1,NA
H08.1,1,NA
H08.2,1,NA
H08.3,1,NA
H08.4,1,NA
H08.5,1,NA
H08.6,1,NA
H08.7,1,NA
H08.8,1,NA
H08.9,1,NA
H09,1,NA
H09.0,1,NA
H09.1,1,NA
H09.2,1,NA
H09.3,1,NA
H09.4,1,NA
H09.5,1,NA
H09.6,1,NA
H09.7,1,NA
H09.8,1,NA
H09.9,1,NA
H10,1,Conjunctivitis
H10.0,1,Mucopurulent conjunctivitis
H10.1,1,Acute atopic conjunctivitis
H10.2,1,Other acute conjunctivitis
H10.3,1,Unspecified acute conjunctivitis
H10.4,1,Chronic conjunctivitis
H10.5,1,Blepharoconjunctivitis
H10.6,1,Conjunctivitis
H10.7,1,Conjunctivitis
H10.8,1,Other conjunctivitis
H10.9,1,Unspecified conjunctivitis
H11,1,Other disorders of conjunctiva
H11.0,1,Pterygium of eye
H11.1,1,Conjunctival degenerations and deposits
H11.2,1,Conjunctival scars
H11.3,1,Conjunctival hemorrhage
H11.4,1,Other conjunctival vascular disorders and cysts
H11.5,1,Other disorders of conjunctiva
H11.6,1,Other disorders of conjunctiva
H11.7,1,Other disorders of conjunctiva
H11.8,1,Other specified disorders of conjunctiva
H11.9,1,Unspecified disorder of conjunctiva
H12,1,NA
H12.0,1,NA
H12.1,1,NA
H12.2,1,NA
H12.3,1,NA
H12.4,1,NA
H12.5,1,NA
H12.6,1,NA
H12.7,1,NA
H12.8,1,NA
H12.9,1,NA
H13,1,NA
H13.0,1,NA
H13.1,1,NA
H13.2,1,NA
H13.3,1,NA
H13.4,1,NA
H13.5,1,NA
H13.6,1,NA
H13.7,1,NA
H13.8,1,NA
H13.9,1,NA
H14,1,NA
H14.0,1,NA
H14.1,1,NA
H14.2,1,NA
H14.3,1,NA
H14.4,1,NA
H14.5,1,NA
H14.6,1,NA
H14.7,1,NA
H14.8,1,NA
H14.9,1,NA
H15,1,Disorders of sclera
H15.0,1,Scleritis
H15.1,1,Episcleritis
H15.2,1,Disorders of sclera
H15.3,1,Disorders of sclera
H15.4,1,Disorders of sclera
H15.5,1,Disorders of sclera
H15.6,1,Disorders of sclera
H15.7,1,Disorders of sclera
H15.8,1,Other disorders of sclera
H15.9,1,Unspecified disorder of sclera
H16,1,Keratitis
H16.0,1,Corneal ulcer
H16.1,1,Other and unspecified superficial keratitis without conjunctivitis
H16.2,1,Keratoconjunctivitis
H16.3,1,Interstitial and deep keratitis
H16.4,1,Corneal neovascularization
H16.5,1,Keratitis
H16.6,1,Keratitis
H16.7,1,Keratitis
H16.8,1,Other keratitis
H16.9,1,Unspecified keratitis
H17,1,Corneal scars and opacities
H17.0,1,Adherent leukoma
H17.1,1,Central corneal opacity
H17.2,1,Corneal scars and opacities
H17.3,1,Corneal scars and opacities
H17.4,1,Corneal scars and opacities
H17.5,1,Corneal scars and opacities
H17.6,1,Corneal scars and opacities
H17.7,1,Corneal scars and opacities
H17.8,1,Other corneal scars and opacities
